model,val_acc,val_f1,test_acc,test_f1
mfcc,0.610705596107056,0.6197916968707291,0.5372050816696915,0.5655409631679966
mel,0.6557177615571776,0.6847123903144408,0.6122202056866304,0.633997621549387
rms,0.4263990267639903,0.43543454913915064,0.514821536600121,0.5341065717570659
all,0.6514598540145985,0.668805439308791,0.616454930429522,0.6372335193368415
